ID Agence;ID Clt;ID Agent;ID Compte
001;1;1;1
002;2;2;2
003;3;3;3
004;4;4;4
005;5;5;5
006;6;6;6
007;7;7;7
008;8;8;8
009;9;9;9
010;10;10;10
011;11;11;11
012;12;12;12
013;13;13;13
014;14;14;14
015;15;15;15
016;16;16;16
017;17;17;17
018;18;18;18
019;19;19;19
020;20;20;20
021;21;21;21
022;22;22;22
023;23;23;23
024;24;24;24
025;25;25;25
026;26;26;26
027;27;27;27
028;28;28;28
029;29;29;29
030;30;30;30
031;31;31;31
032;32;32;32
033;33;33;33
034;34;34;34
035;35;35;35
036;36;36;36
037;37;37;37
038;38;38;38
039;39;39;39
040;40;40;40
041;41;41;41
042;42;42;42
043;43;43;43
044;44;44;44
045;45;45;45
046;46;46;46
047;47;47;47
048;48;48;48
049;49;49;49
050;50;50;50
051;51;51;51
052;52;52;52
053;53;53;53
054;54;54;54
055;55;55;55
056;56;56;56
057;57;57;57
058;58;58;58
059;59;59;59
060;60;60;60
061;61;61;61
062;62;62;62
063;63;63;63
064;64;64;64
065;65;65;65
066;66;66;66
067;67;67;67
068;68;68;68
069;69;69;69
070;70;70;70
071;71;71;71
072;72;72;72
073;73;73;73
074;74;74;74
075;75;75;75
076;76;76;76
077;77;77;77
078;78;78;78
079;79;79;79
080;80;80;80
081;81;81;81
082;82;82;82
083;83;83;83
084;84;84;84
085;85;85;85
086;86;86;86
087;87;87;87
088;88;88;88
089;89;89;89
090;90;90;90
091;91;91;91
092;92;92;92
093;93;93;93
094;94;94;94
095;95;95;95
096;96;96;96
097;97;97;97
098;98;98;98
099;99;99;99
100;100;100;100
